,id,y,x1
0,0,7,0
1,1,2,0
2,2,1,0
3,3,0,0
4,4,4,0
5,5,1,0
6,6,4,0
7,7,9,0
8,8,5,0
9,9,9,0
10,10,0,0
11,11,6,0
12,12,9,0
13,13,0,0
14,14,1,0
15,15,5,0
16,16,9,0
17,17,7,0
18,18,3,0
19,19,4,0
20,20,9,0
21,21,6,0
22,22,6,0
23,23,5,0
24,24,4,0
25,25,0,0
26,26,7,0
27,27,4,0
28,28,0,0
29,29,1,0
30,30,3,0
31,31,1,0
32,32,3,0
33,33,4,0
34,34,7,0
35,35,2,0
36,36,7,0
37,37,1,0
38,38,2,0
39,39,1,0
40,40,1,0
41,41,7,0
42,42,4,0
43,43,2,0
44,44,3,0
45,45,5,0
46,46,1,0
47,47,2,0
48,48,4,0
49,49,4,0
50,50,6,0
51,51,3,0
52,52,5,0
53,53,5,0
54,54,6,0
55,55,0,0
56,56,4,0
57,57,1,0
58,58,9,0
59,59,5,0
60,60,7,0
61,61,8,0
62,62,9,0
63,63,3,0
64,64,7,0
65,65,4,0
66,66,6,0
67,67,4,0
68,68,3,0
69,69,0,0
70,70,7,0
71,71,0,0
72,72,2,0
73,73,9,0
74,74,1,0
75,75,7,0
76,76,3,0
77,77,2,0
78,78,9,0
79,79,7,0
80,80,7,0
81,81,6,0
82,82,2,0
83,83,7,0
84,84,8,0
85,85,4,0
86,86,7,0
87,87,3,0
88,88,6,0
89,89,1,0
90,90,3,0
91,91,6,0
92,92,9,0
93,93,3,0
94,94,1,0
95,95,4,0
96,96,1,0
97,97,7,0
98,98,6,0
99,99,9,0
100,100,6,0
101,101,0,0
102,102,5,0
103,103,4,0
104,104,9,0
105,105,9,0
106,106,2,0
107,107,1,0
108,108,9,0
109,109,4,0
110,110,8,0
111,111,7,0
112,112,3,0
113,113,9,0
114,114,7,0
115,115,4,0
116,116,4,0
117,117,4,0
118,118,9,0
119,119,2,0
120,120,5,0
121,121,4,0
122,122,7,0
123,123,6,0
124,124,7,0
125,125,9,0
126,126,0,0
127,127,5,0
128,128,8,0
129,129,5,0
130,130,6,0
131,131,6,0
132,132,5,0
133,133,7,0
134,134,8,0
135,135,1,0
136,136,0,0
137,137,1,0
138,138,6,0
139,139,4,0
140,140,6,0
141,141,7,0
142,142,3,0
143,143,1,0
144,144,7,0
145,145,1,0
146,146,8,0
147,147,2,0
148,148,0,0
149,149,2,0
150,150,9,0
151,151,9,0
152,152,5,0
153,153,5,0
154,154,1,0
155,155,5,0
156,156,6,0
157,157,0,0
158,158,3,0
159,159,4,0
160,160,4,0
161,161,6,0
162,162,5,0
163,163,4,0
164,164,6,0
165,165,5,0
166,166,4,0
167,167,5,0
168,168,1,0
169,169,4,0
170,170,4,0
171,171,7,0
172,172,2,0
173,173,3,0
174,174,2,0
175,175,7,0
176,176,1,0
177,177,8,0
178,178,1,0
179,179,8,0
180,180,1,0
181,181,8,0
182,182,5,0
183,183,0,0
184,184,8,0
185,185,9,0
186,186,2,0
187,187,5,0
188,188,0,0
189,189,1,0
190,190,1,0
191,191,1,0
192,192,0,0
193,193,9,0
194,194,0,0
195,195,3,0
196,196,1,0
197,197,6,0
198,198,4,0
199,199,2,0
200,200,3,0
201,201,6,0
202,202,1,0
203,203,1,0
204,204,1,0
205,205,3,0
206,206,9,0
207,207,5,0
208,208,2,0
209,209,9,0
210,210,4,0
211,211,5,0
212,212,9,0
213,213,3,0
214,214,9,0
215,215,0,0
216,216,3,0
217,217,6,0
218,218,5,0
219,219,5,0
220,220,7,0
221,221,2,0
222,222,2,0
223,223,7,0
224,224,1,0
225,225,2,0
226,226,8,0
227,227,4,0
228,228,1,0
229,229,7,0
230,230,3,0
231,231,3,0
232,232,8,0
233,233,8,0
234,234,7,0
235,235,9,0
236,236,2,0
237,237,2,0
238,238,4,0
239,239,1,0
240,240,5,0
241,241,9,0
242,242,8,0
243,243,7,0
244,244,2,0
245,245,3,0
246,246,0,0
247,247,4,0
248,248,4,0
249,249,2,0
250,250,4,0
251,251,1,0
252,252,9,0
253,253,5,0
254,254,7,0
255,255,7,0
256,256,2,0
257,257,8,0
258,258,2,0
259,259,6,0
260,260,8,0
261,261,5,0
262,262,7,0
263,263,7,0
264,264,9,0
265,265,1,0
266,266,8,0
267,267,1,0
268,268,8,0
269,269,0,0
270,270,3,0
271,271,0,0
272,272,1,0
273,273,9,0
274,274,9,0
275,275,4,0
276,276,1,0
277,277,8,0
278,278,2,0
279,279,1,0
280,280,2,0
281,281,9,0
282,282,7,0
283,283,5,0
284,284,9,0
285,285,2,0
286,286,6,0
287,287,4,0
288,288,1,0
289,289,5,0
290,290,8,0
291,291,2,0
