id,y
00000,7
00001,2
00002,1
00003,0
00004,4
00005,1
00006,4
00007,9
00008,5
00009,9
00010,0
00011,6
00012,9
00013,0
00014,1
00015,5
00016,9
00017,7
00018,3
00019,4
00020,9
00021,6
00022,6
00023,5
00024,4
00025,0
00026,7
00027,4
00028,0
00029,1
00030,3
00031,1
00032,3
00033,4
00034,7
00035,2
00036,7
00037,1
00038,2
00039,1
00040,1
00041,7
00042,4
00043,2
00044,3
00045,5
00046,1
00047,2
00048,4
00049,4
00050,6
00051,3
00052,5
00053,5
00054,6
00055,0
00056,4
00057,1
00058,9
00059,5
00060,7
00061,8
00062,9
00063,3
00064,7
00065,4
00066,6
00067,4
00068,3
00069,0
00070,7
00071,0
00072,2
00073,9
00074,1
00075,7
00076,3
00077,2
00078,9
00079,7
00080,7
00081,6
00082,2
00083,7
00084,8
00085,4
00086,7
00087,3
00088,6
00089,1
00090,3
00091,6
00092,9
00093,3
00094,1
00095,4
00096,1
00097,7
00098,6
00099,9
00100,6
00101,0
00102,5
00103,4
00104,9
00105,9
00106,2
00107,1
00108,9
00109,4
00110,8
00111,7
00112,3
00113,9
00114,7
00115,4
00116,4
00117,4
00118,9
00119,2
00120,5
00121,4
00122,7
00123,6
00124,7
00125,9
00126,0
00127,5
00128,8
00129,5
00130,6
00131,6
00132,5
00133,7
00134,8
00135,1
00136,0
00137,1
00138,6
00139,4
00140,6
00141,7
00142,3
00143,1
00144,7
00145,1
00146,8
00147,2
00148,0
00149,2
00150,9
00151,9
00152,5
00153,5
00154,1
00155,5
00156,6
00157,0
00158,3
00159,4
00160,4
00161,6
00162,5
00163,4
00164,6
00165,5
00166,4
00167,5
00168,1
00169,4
00170,4
00171,7
00172,2
00173,3
00174,2
00175,7
00176,1
00177,8
00178,1
00179,8
00180,1
00181,8
00182,5
00183,0
00184,8
00185,9
00186,2
00187,5
00188,0
00189,1
00190,1
00191,1
00192,0
00193,9
00194,0
00195,3
00196,1
00197,6
00198,4
00199,2
00200,3
00201,6
00202,1
00203,1
00204,1
00205,3
00206,9
00207,5
00208,2
00209,9
00210,4
00211,5
00212,9
00213,3
00214,9
00215,0
00216,3
00217,6
00218,5
00219,5
00220,7
00221,2
00222,2
00223,7
00224,1
00225,2
00226,8
00227,4
00228,1
00229,7
00230,3
00231,3
00232,8
00233,8
00234,7
00235,9
00236,2
00237,2
00238,4
00239,1
00240,5
00241,9
00242,8
00243,7
00244,2
00245,3
00246,0
00247,4
00248,4
00249,2
00250,4
00251,1
00252,9
00253,5
00254,7
00255,7
00256,2
00257,8
00258,2
00259,6
00260,8
00261,5
00262,7
00263,7
00264,9
00265,1
00266,8
00267,1
00268,8
00269,0
00270,3
00271,0
00272,1
00273,9
00274,9
00275,4
00276,1
00277,8
00278,2
00279,1
00280,2
00281,9
00282,7
00283,5
00284,9
00285,2
00286,6
00287,4
00288,1
00289,5
00290,8
00291,2
00292,9
00293,2
00294,0
00295,4
00296,0
00297,0
00298,2
00299,8
00300,4
00301,7
00302,1
00303,2
00304,4
00305,0
00306,2
00307,7
00308,4
00309,3
00310,3
00311,0
00312,0
00313,3
00314,1
00315,9
00316,6
00317,5
00318,2
00319,5
